                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.7294,                 1.2109,                 2.3771,                 1.7631,                 0.3441,                0.37604,                0.22581,                0.06787,                0.34277,                0.36354,                0.16137,                0.06331,                 2.3214,                 1.6421,                 3.1643,                 1.9281,              7.696e-05,              7.696e-05,              7.696e-05
                     83,                 1.9352,                 1.1874,                 2.4932,                 1.7402,                 0.3441,                0.37604,                0.22581,                0.06787,                0.34277,                0.36354,                0.16137,                0.06331,                 2.3214,                 1.6421,                 3.1643,                 1.9281,             7.3297e-05,             7.3297e-05,             7.3297e-05
                     84,                 1.9208,                 1.3011,                 2.6581,                 1.7184,                0.37381,                0.19673,                0.21592,                0.06718,                0.37335,                0.20171,                0.21811,                0.06842,                 2.3201,                 1.6703,                 3.1273,                 1.9258,             6.9634e-05,             6.9634e-05,             6.9634e-05
                     85,                 1.9256,                 1.4763,                 2.4585,                 1.6856,                0.37381,                0.19673,                0.21592,                0.06718,                0.37335,                0.20171,                0.21811,                0.06842,                 2.3201,                 1.6703,                 3.1273,                 1.9258,             6.5971e-05,             6.5971e-05,             6.5971e-05
                     86,                 2.0271,                 1.1114,                 2.4986,                 1.7599,                0.37485,                0.19301,                0.22932,                0.07631,                0.37613,                0.19475,                0.23135,                0.08192,                 2.2895,                 1.6739,                 3.0858,                 1.9204,             6.2308e-05,             6.2308e-05,             6.2308e-05
                     87,                 2.0234,                 1.2404,                 2.5955,                 1.7518,                0.37485,                0.19301,                0.22932,                0.07631,                0.37613,                0.19475,                0.23135,                0.08192,                 2.2895,                 1.6739,                 3.0858,                 1.9204,             5.8645e-05,             5.8645e-05,             5.8645e-05
                     88,                 1.9717,                  1.264,                 2.6437,                 1.7205,                0.37298,                0.25621,                0.21687,                0.06954,                0.37298,                0.25621,                0.21903,                0.07642,                 2.2843,                 1.6817,                 3.0533,                 1.9223,             5.4982e-05,             5.4982e-05,             5.4982e-05
                     89,                 1.8774,                 1.2675,                 2.5192,                 1.6658,                0.37298,                0.25621,                0.21687,                0.06954,                0.37298,                0.25621,                0.21903,                0.07642,                 2.2843,                 1.6817,                 3.0533,                 1.9223,             5.1319e-05,             5.1319e-05,             5.1319e-05
                     90,                 1.7841,                 1.1236,                 2.3371,                  1.676,                0.45293,                0.20883,                0.20794,                0.06531,                0.43911,                0.26458,                0.19845,                0.07031,                 2.2607,                 1.6713,                  3.049,                 1.9344,             4.7656e-05,             4.7656e-05,             4.7656e-05
                     91,                 1.8815,                 1.1075,                 2.4217,                 1.8638,                0.45293,                0.20883,                0.20794,                0.06531,                0.43911,                0.26458,                0.19845,                0.07031,                 2.2607,                 1.6713,                  3.049,                 1.9344,             4.3993e-05,             4.3993e-05,             4.3993e-05
                     92,                 2.3635,                 1.0764,                 2.8791,                 2.0118,                0.47583,                 0.2197,                0.22728,                0.06758,                 0.4753,                0.22044,                0.22771,                0.07116,                 2.2442,                 1.6563,                 3.0122,                 1.9419,              4.033e-05,              4.033e-05,              4.033e-05
                     93,                 1.9748,                 1.3441,                 2.6393,                 1.8062,                0.47583,                 0.2197,                0.22728,                0.06758,                 0.4753,                0.22044,                0.22771,                0.07116,                 2.2442,                 1.6563,                 3.0122,                 1.9419,             3.6667e-05,             3.6667e-05,             3.6667e-05
                     94,                 1.8932,                 1.1123,                  2.733,                 1.7637,                0.45434,                0.28542,                0.23209,                0.07052,                0.45434,                0.28542,                0.23326,                 0.0663,                 2.2193,                 1.6303,                 2.9972,                 1.9351,             3.3004e-05,             3.3004e-05,             3.3004e-05
                     95,                 1.8575,                  1.232,                 2.3998,                  1.853,                0.45434,                0.28542,                0.23209,                0.07052,                0.45434,                0.28542,                0.23326,                 0.0663,                 2.2193,                 1.6303,                 2.9972,                 1.9351,             2.9341e-05,             2.9341e-05,             2.9341e-05
                     96,                 1.9127,                 1.3673,                 2.4997,                 1.7792,                  0.429,                   0.29,                0.22623,                0.07593,                  0.429,                   0.29,                0.22681,                0.06513,                 2.2182,                 1.5971,                 3.0109,                 1.9438,             2.5678e-05,             2.5678e-05,             2.5678e-05
                     97,                 1.8556,                 1.1452,                 2.4044,                  1.795,                  0.429,                   0.29,                0.22623,                0.07593,                  0.429,                   0.29,                0.22681,                0.06513,                 2.2182,                 1.5971,                 3.0109,                 1.9438,             2.2015e-05,             2.2015e-05,             2.2015e-05
                     98,                 1.6752,                  1.004,                 2.1933,                 1.6498,                0.34979,                0.30492,                0.22725,                0.07521,                0.34979,                0.30492,                0.22834,                0.06745,                 2.2237,                 1.5701,                 3.0213,                 1.9496,             1.8352e-05,             1.8352e-05,             1.8352e-05
                     99,                 1.5931,                 1.5044,                  2.204,                 1.6891,                0.34979,                0.30492,                0.22725,                0.07521,                0.34979,                0.30492,                0.22834,                0.06745,                 2.2237,                 1.5701,                 3.0213,                 1.9496,             1.4689e-05,             1.4689e-05,             1.4689e-05
                    100,                 2.0951,                 1.4096,                 2.6416,                 1.9115,                0.35321,                0.32994,                 0.2274,                0.07834,                0.35321,                0.32994,                0.22795,                0.06723,                 2.2245,                 1.5566,                 3.0279,                 1.9593,             1.1026e-05,             1.1026e-05,             1.1026e-05
